GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils,DownloadFailedException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils,Downloader,550,265,52,24,73,78,35,12,1,8
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils,InvalidSettingException,12,4,0,0,6,2,3,1,3,1
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils,SSLSocketFactoryEx,187,117,8,6,39,30,16,7,11,5
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils,URLConnectionFactory,190,92,39,5,40,30,21,7,1,5
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils,FileUtils,41,63,7,9,11,15,8,8,2,6
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils,URLConnectionFactory.new Authenticator() {...},58,0,6,0,10,0,5,0,2,0
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils,URLConnectionFailureException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils,Settings,388,453,60,42,57,106,48,37,7,27
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils,Checksum,65,126,14,10,3,24,11,6,1,4
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils,XmlUtils,35,147,10,14,5,34,11,9,1,5
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils,ExpectedObjectInputStream,0,32,0,2,0,7,0,3,0,2
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils,ExtractionException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils,Settings.KEYS,3,0,0,0,2,0,1,0,1,0
